smiles	name
c1cc(nc(c1)Cl)C(=O)[O-]	EN300-61563_i001
c1cc(ccc1S(=O)(=O)C2(CCC2)C(=O)[O-])Cl	EN300-24357_i001
CNS(=O)(=O)c1ccc(c(c1)C(=O)[O-])Cl	EN300-10855_i001
CS(=O)(=O)c1ccc(c(c1)C(=O)[O-])Cl	EN300-10082_i001
Cc1ccc(c(n1)Cl)C(=O)[O-]	EN300-39497_i001
c1cc(ccc1S(=O)(=O)NCC(=O)[O-])Cl	EN300-05642_i001
c1cc(ncc1Br)C(=O)[O-]	EN300-61854_i001
c1ccc(c(c1)F)S(=O)(=O)NCCC(=O)[O-]	EN300-04059_i001
c1cc(c(cc1C(=O)[O-])S(=O)(=O)N)Br	EN300-38952_i001
c1cc(ccc1S(=O)(=O)CCC(=O)[O-])Br	EN300-40084_i001
c1cc2c(ccc(c2nc1)C(=O)[O-])Cl	EN300-35208_i001
CN(C)S(=O)(=O)c1cc(ccc1F)C(=O)[O-]	EN300-44892_i001
CC(C)NS(=O)(=O)c1ccc(c(c1)C(=O)[O-])F	EN300-35576_i001
c1cc(c(cc1C(=O)[O-])S(=O)(=O)N2CCCC2)F	EN300-35217_i001
CC(C)(C)NS(=O)(=O)c1cc(ccc1F)C(=O)[O-]	EN300-31829_i001
CN(CCCC(=O)[O-])S(=O)(=O)c1ccc(cc1)F	EN300-11729_i001
CC(C)NS(=O)(=O)c1ccc(c(c1)C(=O)[O-])Cl	EN300-10564_i001
C=CCNS(=O)(=O)c1cc(ccc1F)C(=O)[O-]	EN300-31809_i001
C[C@@H](C(=O)[O-])NS(=O)(=O)c1ccccc1F	EN300-08387_i001
C[C@H](C(=O)[O-])NS(=O)(=O)c1ccccc1F	EN300-08387_i002
c1cc(c(cc1C(=O)[O-])Br)F	EN300-85895_i001
Cc1cc(cc(c1C(=O)[O-])C)Br	EN300-39927_i001
C[C@H](C(=O)[O-])S(=O)(=O)c1ccc(cc1)F	EN300-45271_i001
C[C@@H](C(=O)[O-])S(=O)(=O)c1ccc(cc1)F	EN300-45271_i002
CS(=O)(=O)c1ccc(c(c1)C(=O)[O-])F	EN300-51706_i001
c1cc(c(cc1Br)n2cncn2)C(=O)[O-]	EN300-53375_i001
C[C@H](CC(=O)[O-])S(=O)(=O)c1ccc(cc1)F	EN300-69563_i001
C[C@@H](CC(=O)[O-])S(=O)(=O)c1ccc(cc1)F	EN300-69563_i002
Cc1cc(ccc1I)C(=O)[O-]	EN300-68161_i001
CS(=O)(=O)c1cc(ccc1Br)C(=O)[O-]	EN300-61683_i001
Cc1ccc(cc1C)c2ccc(c(c2)F)C(=O)[O-]	EN300-71990_i001
c1cncc(c1C(=O)[O-])Br	EN300-83251_i001
Cc1ccc(cc1)c2ccc(c(c2)F)C(=O)[O-]	EN300-70759_i001
Cc1ncc(c(n1)C(=O)[O-])Cl	EN300-83090_i001
COCCOCc1cc(ccc1F)C(=O)[O-]	EN300-90366_i001
c1cc(nnc1N2C(=O)CC(=N2)CC(=O)[O-])Cl	EN300-91745_i001
Cn1c2cc(c(cc2n(c1=O)C)Br)C(=O)[O-]	EN300-81971_i001
CC(C)[C@@H](C(=O)[O-])NS(=O)(=O)c1ccccc1F	EN300-87587_i001
CNS(=O)(=O)c1cc(ccc1F)C(=O)[O-]	EN300-102705_i001
c1cc(c(cc1Cl)Br)C(=O)[O-]	EN300-98064_i001
c1cc(c(cc1S(=O)(=O)N2CCC2)C(=O)[O-])Cl	EN300-100014_i001
CSCc1cc(ccc1F)C(=O)[O-]	EN300-97236_i001
CC(C)(C)NS(=O)(=O)c1ccc(c(c1)C(=O)[O-])Cl	EN300-102265_i001
CCS(=O)(=O)c1ccc(cc1C(=O)[O-])Cl	EN300-104138_i001
Cc1c(c(c(cn1)C(=O)[O-])Cl)Br	EN300-109027_i001
C[C@H](CS(=O)(=O)c1ccc(cc1)F)C(=O)[O-]	EN300-105420_i001
C[C@@H](CS(=O)(=O)c1ccc(cc1)F)C(=O)[O-]	EN300-105420_i002
Cc1cc(ccc1C(=O)[O-])F	EN300-105632_i001
c1cc(c(cc1C(=O)[O-])Cl)Br	EN300-105786_i001
Cc1ccc(c(c1)C(=O)[O-])Br	EN300-109863_i001
CCOC(=O)c1cc(c(nc1)C(=O)[O-])Cl	EN300-109645_i001
CN(C)S(=O)(=O)c1ccc(c(c1)C(=O)[O-])F	EN300-10862_i001
c1cc(c(cc1Cl)F)C(=O)[O-]	EN300-21714_i001
c1cncc(c1C(=O)[O-])Cl	EN300-88517_i001
c1cc(nc2c1cc(cc2)C(=O)[O-])Cl	EN300-41200_i001
Cc1ccc(c(c1)Br)C(=O)[O-]	EN300-101329_i001
CSc1cc(ccc1C(=O)[O-])F	EN300-43825_i001
c1cc(c(cc1C(=O)[O-])S(=O)(=O)N)F	EN300-39319_i001
CC(C)N(C)S(=O)(=O)c1ccc(c(c1)C(=O)[O-])F	EN300-31543_i001
